job_id,company,title,location,url,source
greenhouse_7453373,stripe,Business Recruiter (Fixed Term Contract),Singapore,https://stripe.com/jobs/search?gh_jid=7453373,greenhouse
greenhouse_7453365,stripe,Business Recruiter (Fixed Term Contract),Dublin,https://stripe.com/jobs/search?gh_jid=7453365,greenhouse
greenhouse_7453367,stripe,Business Recruiter (Fixed Term Contract),London,https://stripe.com/jobs/search?gh_jid=7453367,greenhouse
greenhouse_7436172,stripe,Business Systems Analyst - Legal Domain,Bangalore,https://stripe.com/jobs/search?gh_jid=7436172,greenhouse
greenhouse_7456710,stripe,Business Value Consulting,US-SF,https://stripe.com/jobs/search?gh_jid=7456710,greenhouse
greenhouse_7408501,stripe,"Channel Program Lead, Alliances & Channels","SEA, SF, or NYC",https://stripe.com/jobs/search?gh_jid=7408501,greenhouse
greenhouse_7481363,stripe,"Channel Sales Executive - SaaS Platforms, Ireland",LOCATION,https://stripe.com/jobs/search?gh_jid=7481363,greenhouse
greenhouse_7237465,stripe,"Channel Sales Manager, Benelux",LOCATION,https://stripe.com/jobs/search?gh_jid=7237465,greenhouse
greenhouse_7179658,stripe,"Channel Sales Manager, Italy","Milan, Italy",https://stripe.com/jobs/search?gh_jid=7179658,greenhouse
greenhouse_7227066,stripe,Client Onboarding Integration Engineer,"Toronto, CA; Chicago, IL ",https://stripe.com/jobs/search?gh_jid=7227066,greenhouse
greenhouse_7398150,stripe,Collections Specialist,Mexico,https://stripe.com/jobs/search?gh_jid=7398150,greenhouse
greenhouse_7438188,stripe,Commercial Counsel,"Mexico City, MX",https://stripe.com/jobs/search?gh_jid=7438188,greenhouse
greenhouse_7392188,stripe,"Commercial Counsel, Crypto","New York City, Seattle, San Francisco, Chicago, Atlanta, US-Remote",https://stripe.com/jobs/search?gh_jid=7392188,greenhouse
greenhouse_7206336,stripe,Commercial Solutions Program Manager,"Chicago, IL , Remote",https://stripe.com/jobs/search?gh_jid=7206336,greenhouse
greenhouse_7442804,stripe,Community Enablement Lead,"New York, San Fransisco, Seattle, Chicago, US Remote",https://stripe.com/jobs/search?gh_jid=7442804,greenhouse
greenhouse_7203552,stripe,"Compensation Partner, Product & Engineering","NYC, San Francisco, Seattle",https://stripe.com/jobs/search?gh_jid=7203552,greenhouse
greenhouse_6960632,stripe,Consumer Lifecycle Marketing Manager,"San Francisco, CA, USA; New York, NY, USA; Seattle, WA, USA; Chicago, IL, USA; Atlanta, GA, USA; Toronto, ON, Canada; Remote (Various Locations)",https://stripe.com/jobs/search?gh_jid=6960632,greenhouse
greenhouse_7364062,stripe,Content Activation Lead,"US Remote, CHI, ATL",https://stripe.com/jobs/search?gh_jid=7364062,greenhouse
